id,replies,retweets,quotes,likes,tidy_tweets,sentiment,Overall_sentimental,day_of_week,date_only,Time
1262042693489905664,4903,18973,1467,86768,Behind every COVID death is a family and a community that will never be the same Behind every unemployment claim is a life thrown into uncertainty a person wondering how they ll make ends meet There is a real human toll to this crisis We cannot forget that ,-0.2,Negative,Sunday,2020-05-17,15:30:00
1262065345277255681,744,4175,290,17391,No graduating class gets to choose the world into which they graduate but few have ever entered at a point in this country s history where they genuinely have a chance to write a new chapter Congratulations to the class of I can t wait to see the future you create https t co rfdhDJzBjO,0.08409090909090909,Neutral,Sunday,2020-05-17,17:00:00
1262096469785485318,1969,7582,537,26476,Moments of crisis require presidents to step up transcend partisan politics and unite the nation to achieve a common goal But Donald Trump has done nothing but stoke division and we re seeing the effect every day He is the worst possible person to lead us through this crisis https t co PEArBTK id,-0.43333333333333335,Negative,Sunday,2020-05-17,19:03:00
1262133289982164992,1259,5876,297,29639,As we reflect on the incredible legacy of Brown v Board of Education we re reminded of the urgent work that remains before us years later We can t rest until every kid gets a fair shot and we finally live up to our founding ideals of liberty justice and equality for all ,0.4340909090909091,Positive,Sunday,2020-05-17,21:30:00
1262154177221808130,2253,6488,892,35413,I m incredibly grateful for everyone who has chipped in to help fuel this campaign especially in times as tough as these EWarren and I called a few folks to thank them for their support https t co FPpttl wkc,0.07777777777777777,Neutral,Sunday,2020-05-17,22:53:00
1262171039863394305,1024,6502,307,25393,A year ago today the House passed the #EqualityAct a long overdue bill that would ensure LGBTQ people are treated with dignity and respect under the law But SenateMajLdr won t bring it up for a vote It s unacceptable Passing it will be a top legislative priority of mine ,0.225,Positive,Monday,2020-05-18,00:00:00
1262186137868595200,3541,8520,619,52890,In times of crisis Americans stand as one It s who we are And it s how we re going to get through this together ,0.0,Neutral,Monday,2020-05-18,01:00:00
1262386206865797124,1424,5714,313,18716,In the middle of the worst public health crisis in our lifetime President Trump is actively trying to terminate health insurance for millions of Americans It s unthinkable Here s what I would do to ensure everyone has access to the coverage they need https t co kvok B if,-0.23666666666666666,Negative,Monday,2020-05-18,14:15:00
1262420180690505733,27181,36021,4871,200472,Donald Trump is the most corrupt president in modern American history and his recovery efforts are making that clearer than ever ,0.05,Neutral,Monday,2020-05-18,16:30:00
1262448924608139269,621,2546,73,9049,Companies getting relief from taxpayers have an obligation to protect workers paychecks and the Trump Administration has an obligation to hold their feet to the fire to ensure they do We need real relief paired with real oversight not no strings attached corporate bailouts https t co N MlkNODqh,0.13333333333333333,Positive,Monday,2020-05-18,18:24:00
1262480579624235008,2659,8807,496,36330, Expand vote by mail and early voting Implement online voter registration Ensure everyone can safely vote in person We need to do everything in our power to ensure every American can safely make their voice heard this November ,0.275,Positive,Monday,2020-05-18,20:30:00
1262508260411621377,1008,4342,175,16319,One of President Trump s top advisors admitted that this administration really let the country down on testing He s right It s long past time for Trump to step up and implement a national testing strategy so we can begin safely reopening the economy https t co jDawbgdAzl,0.14716553287981857,Positive,Monday,2020-05-18,22:20:00
1262535439715405824,1412,2623,181,10741,With your help we ll defeat Donald Trump And we won t just rebuild this nation we ll transform it I know times are tough but if you re able please chip in today to help make it happen https t co Wje LYRL J,0.05555555555555555,Neutral,Tuesday,2020-05-19,00:08:00
1262548526094929928,7880,23895,1463,139419,Donald Trump is not responsible for the coronavirus But he does bear full responsibility for failing to protect our nation from the worst public health and economic crisis in our lifetime ,-0.11000000000000001,Negative,Tuesday,2020-05-19,01:00:00
1262749852976349184,3845,10179,712,50572,It s time we reward the people who actually make this country work Not Wall Street CEOs but the middle class Ordinary women and men who are capable of doing extraordinary things when given half a chance That s who I ll fight for every single day in the White House ,0.0056547619047619055,Neutral,Tuesday,2020-05-19,14:20:00
1262780460905660424,591,3455,108,11973,I am proud to stand with NationalNurses in calling for a strong OSHA standard for RNs and other frontline health care workers and full utilization of the Defense Production Act to mass produce personal protective equipment https t co ilhcLlB Ws,0.24305555555555558,Positive,Tuesday,2020-05-19,16:21:00
1262797667677212672,31077,41948,10856,327166,We need a president who believes in science ,0.0,Neutral,Tuesday,2020-05-19,17:30:00
1262835420108292101,6754,11356,1006,58441,Donald Trump is the worst possible person to lead us through this crisis https t co H jyciMou,-0.5,Negative,Tuesday,2020-05-19,20:00:00
1262863098702004224,806,1962,89,7441,Tonight I ll be joining chefjoseandres for a virtual town hall to discuss the impact of COVID on food security and the restaurant industry and what our government should be doing to ensure no one in America goes hungry Watch live at PM ET https t co KG y EA s,0.13636363636363635,Positive,Tuesday,2020-05-19,21:50:00
1262885244509671424,394,2203,55,12085,Today DrBiden and I are mourning the death of our dear friend Annie Glenn Her long life was filled with great love and great meaning with purpose and her own brand of uncommon courage https t co JnAuBlF P,0.55,Positive,Tuesday,2020-05-19,23:18:00
1262897980799102976,734,3457,177,15604,Fundamentally this is about whose side the government is on and whether it is accountable to the American people This is a case I will continue to make and if elected president will deliver on https t co x ZeMOz v,0.0,Neutral,Wednesday,2020-05-20,00:08:00
1262897978890768384,1735,12474,540,39420,During today s Senate Banking Committee hearing Secretary StevenMnuchin refused to require corporations benefiting from billion in CARES Act funds to keep workers on their payrolls EWarren asked him several times each time he ducked and refused ,0.0,Neutral,Wednesday,2020-05-20,00:08:00
1262897979666706435,457,3757,120,18731,That s exactly why EWarren and I have called for more oversight We need more conditions on corporations to ensure relief goes to their workers not their CEOs No billion slush fund No blank checks The Trump Administration is prioritizing big corporations over workers ,0.25,Positive,Wednesday,2020-05-20,00:08:00
1262910915768315904,4483,8370,786,55696,The United States of America has always emerged stronger from every trial and tribulation and we will again We will overcome this ,0.0,Neutral,Wednesday,2020-05-20,01:00:00
1262932298082799624,878,2194,218,10612,Congratulations to Dr iingwen on the start of her second term Taiwan s thriving democracy and response to COVID are an example to the world America s support for Taiwan must remain strong principled and bipartisan https t co aw TFh z,0.21666666666666665,Positive,Wednesday,2020-05-20,02:24:00
1263112240510627841,3080,8874,767,41018,When we emerge from this crisis we can t just go back to the way things were before We need to take this country to a place we ve never been Where we finally live up to our highest ideals and everyone gets a full share of the American dream ,0.12159090909090908,Positive,Wednesday,2020-05-20,14:20:00
1263144955867885568,10447,15867,1919,104366,Now more than ever we need a president who will choose to unite rather than divide ,0.5,Positive,Wednesday,2020-05-20,16:30:00
1263150426477727750,1125,7230,255,22669,Donald Trump has failed to provide for our nurses and doctors on the frontlines Now he s short changing our troops and their families Unacceptable https t co Q s MvHwQX,-0.25,Negative,Wednesday,2020-05-20,16:51:00
1263185976089890816,702,1465,83,5335,From my home in Delaware to Milwaukee Wisconsin join us for a virtual rally at PM CT https t co xk GcSpr https t co vYn VS R,0.0,Neutral,Wednesday,2020-05-20,19:13:00
1263215923374305280,8143,14198,1358,94686,Donald Trump needs to do his job and implement a national testing strategy ,0.0,Neutral,Wednesday,2020-05-20,21:12:00
1263233036243603457,703,4244,174,19262,My heart and Jill s go out to the people of Midland Michigan experiencing another crisis in the midst of this pandemic https t co XR XJpznd,0.0,Neutral,Wednesday,2020-05-20,22:20:00
1263250653318656002,977,2420,134,8927,Folks I m excited to share that we re hosting a grassroots fundraiser with PeteButtigieg Grassroots donors are the backbone of our campaign and I want to thank you for all your support Chip in any amount to join us Friday afternoon https t co B JZ XXuyz,0.375,Positive,Wednesday,2020-05-20,23:30:00
1263259697177677826,1400,5004,242,15567,Donald Trump is using a global health crisis as an excuse to deport children and continue separating families It s heartless and un American People across the political spectrum rejected these policies before and will do so again because they know families belong together https t co xhd PmvJsi,-0.0125,Neutral,Thursday,2020-05-21,00:05:00
1263269526721855488,2322,8078,432,34553,We don t have a food shortage problem we have a leadership problem https t co eFpJ PGHGM,0.0,Neutral,Thursday,2020-05-21,00:45:00
1263280851128930304,3961,10683,688,44010,This shouldn t be a partisan issue We need to ensure every single eligible American can safely make their voice heard this November https t co x S vkYwUI,0.14285714285714288,Positive,Thursday,2020-05-21,01:30:00
1263475886445039616,3650,12566,634,72068,When I launched my campaign I said we were in a battle for the soul of the nation we re seeing that soul on full display Folks are reaching out to help one another and doing truly heroic things It makes me so proud ,0.6166666666666666,Positive,Thursday,2020-05-21,14:25:00
